รหัสผู้ป่วย,ชื่อนามสกุล,รหัสบัตรประชาชน,วันเกิด,เพศ,เบอร์โทรศัพท์,อีเมล,ที่อยู่,โรคประจำตัว,เลขกรมธรรม์,วันที่เข้ารักษา,วันที่จำหน่าย
PAT0001,ยศพงศ์ แก้วชลคราม,6-8507-40004-74-5,1997-02-11,หญิง,+66 3930 9417,punnratn74@gmail.com,25 หมู่ 47 ถ.ซูสารอ ต.หนองอิเฒ่า อ.หนองบัวโคก จ.พะเยา,สุขภาพดี,INS-83348363,2021-11-13,2024-10-25
PAT0002,นิมุ ถิรสวัสดิ์,1-4115-31752-83-1,1982-03-31,ชาย,042669709,piyananthnaakhsuthin@brisath.co,960/28 ต.วัดหัวงัว อ.โพนสวรรค์ ชัยนาท 69250,มะเร็ง,INS-28540805,2020-12-02,2024-05-18
PAT0003,ชัชนันท์ หอมพิกุล,5-4804-35597-44-0,1966-04-19,ชาย,050 447170,naanaaynorschaa@icloud.com,74 หมู่ 37 ถนนบุนยะตีรณะ ตำบลท่าเรือ อำเภอหนอกจอก ชัยนาท 38930,โรคหัวใจ,INS-59669480,2023-02-23,2025-04-28
PAT0004,เอกชัย ธัญเสถียร,3-4307-49022-66-4,1968-03-30,ชาย,039-070125,wilaasiniirkiieyaaa@yahoo.com,66/0 ถ.ตันตราจิณ ตำบลเขาขาว อำเภอบำเหน็จณรงค์ ตรัง 83260,โรคหัวใจ,INS-93682126,2020-06-25,2025-04-20
PAT0005,ไมล์ เธียรายัน,1-5418-69785-55-3,1975-11-15,หญิง,+66 (0) 3380 4137,rphasphngsyaangswy@hotmail.com,63/70 ถนนพรรษาสกุล ตำบลบ้านบางปะกอก อำเภอบ้านเขว้า ปราจีนบุรี 12680,ความดันสูง,INS-05319836,2024-12-25,2025-01-04
PAT0006,สิราพร ตั้งกุลงาม,5-8419-39435-64-5,1937-04-17,หญิง,068 233 0680,triiephrinthrsrinyaa@yahoo.com,51/11 ถ.ขันธุลา ต.ปังหวานเหนือ อ.นาทม พัทลุง 85830,หอบหืด,INS-58810669,2022-06-22,2025-02-27
PAT0007,พิชญ์สินี ไทนิยม,4-7004-01872-39-1,1967-02-25,หญิง,030 528076,wbawephuuen@tansthityksraang.com,49 หมู่ 99 ถนนเดชวา ป่าบางแค จ.พระนครศรีอยุธยา 55490,ความดันสูง,INS-64175856,2022-07-29,2025-01-23
PAT0008,พิมพกานต์ นาฏคายี,5-6604-23538-42-5,1957-04-16,หญิง,05 139 7404,xsriitawan@brisath.go.th,003 ถนนนาคพันธุ์ สุขเดือนห้า บ้านแท่น อุดรธานี 78160,เบาหวาน,INS-28059840,2024-02-09,2024-10-15
PAT0009,บุญเกิด ทหารแท้,5-8314-62948-44-1,1988-11-12,หญิง,+66 (0) 4828 6039,khmkhaaycchann@yahoo.com,81 ถนนถนัดอาวุธ ต.ท่างิ้ว จ.พระนครศรีอยุธยา 17770,สุขภาพดี,INS-37699257,2025-04-29,2024-11-10
PAT0010,นาวีตา แต้กุล,8-3606-29531-20-2,1988-01-29,ชาย,020 798250,phuuwrnattnaath@outlook.com,312 ถ.นุ่มกัน เขาขาว อุดรธานี 56690,โรคหัวใจ,INS-10633861,2024-10-22,2025-02-17
